1,20957 
2,25202 
3,27490 
4,29069 
5,30337 
6,31363 
7,32216 
8,32979 
9,33613 
10,34219 
11,34698 
12,35156 
13,35586 
14,36006 
15,36345 
16,36680 
17,36991 
18,37340 
19,37610 
20,37844 
21,38112 
22,38397 
23,38639 
24,38849 
25,39048 
26,39242 
27,39426 
28,39633 
29,39850 
30,40057 
31,21432 
32,25344 
33,27668 
34,29290 
35,30562 
36,31567 
37,32341 
38,33221 
39,33814 
40,34391 
41,34681 
42,35322 
43,35735 
44,36100 
45,36479 
46,36825 
47,37137 
48,37460 
49,37760 
50,38050 
51,38339 
52,38576 
53,38839 
54,39053 
55,39144 
56,39530 
57,39755 
58,39958 
59,40177 
60,40337 
61,40517 
62,21715 
63,25639 
64,27894 
65,29588 
66,30871 
67,31862 
68,32716 
69,33473 
70,34107 
71,34679 
72,35214 
73,35679 
74,36131 
75,36537 
76,36910 
77,37269 
78,37631 
79,37914 
80,38203 
81,38501 
82,38778 
83,39249 
84,39489 
85,39741 
86,39971 
87,40191 
88,40407 
89,40608 
90,40801 
91,41003 
92,41188 
